样本路径,视角,控制稿版本,风格,陈设,机位,通路,提示词来源,对照类型,错配机位,对照物,对照物路径,v2,v3原位,v3配准,dx,dy,sx,sy,线像素,v3进分母,备注,耗时s
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/line.png,0.0534,0.2351,0.4036,14,4,1.0,1.0,14065,14065,,6.0
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,错配,cam-room-书房,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/line.png,0.0147,0.0135,0.0339,-15,-6,1.0,1.0,10476,10476,,3.9
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,转90,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/line.png,0.0204,0.0229,0.0666,7,-24,1.0,1.0,13379,13379,,4.4
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/sketch.png,0.3084,0.4111,0.6295,11,0,1.0,1.0,9828,9828,,4.6
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,错配,cam-room-书房,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/sketch.png,0.0155,0.0148,0.0737,-15,-7,1.0,1.0,10503,10501,,5.4
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,转90,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/sketch.png,0.0093,0.0171,0.06,23,-19,1.0,1.0,9512,9512,,4.5
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed2.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/line.png,0.1631,0.3263,0.377,3,3,1.0,1.0,14065,14065,,6.1
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed2.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/sketch.png,0.4943,0.6609,0.6785,2,2,1.0,1.0,9828,9828,,4.7
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed3.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/line.png,0.1091,0.2328,0.3536,8,5,1.0,1.0,14065,14065,,5.9
_iteration/run-2026-09-05-opening-kind-realism/cam-room-主卧-seed3.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-主卧,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/sketch.png,0.3806,0.3888,0.605,7,0,1.0,1.0,9828,9828,,4.3
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/line.png,0.2791,0.6074,0.6768,2,3,1.0,1.0,10476,10476,,4.8
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/sketch.png,0.3529,0.8214,0.8452,1,1,1.0,1.0,10503,10501,,4.4
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed2.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/line.png,0.4106,0.6491,0.6684,1,0,1.0,1.0,10476,10476,,4.8
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed2.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/sketch.png,0.5314,0.8743,0.8915,2,0,1.0,1.0,10503,10501,,4.7
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed3.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/line.png,0.4002,0.6818,0.6931,0,4,1.0,1.0,10476,10476,,5.0
_iteration/run-2026-09-05-opening-kind-realism/cam-room-书房-seed3.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-书房,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-书房/sketch.png,0.5273,0.6995,0.7687,-1,2,1.0,1.0,10503,10501,,4.7
_iteration/run-2026-09-05-opening-kind-realism/cam-room-客厅-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-客厅,万相doodle经网关,imagegen模板,正常,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-客厅/line.png,0.1065,0.2116,0.2347,3,0,1.0,1.0,20604,20604,,9.4
_iteration/run-2026-09-05-opening-kind-realism/cam-room-客厅-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-客厅,万相doodle经网关,imagegen模板,错配,cam-room-主卧,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/line.png,0.0249,0.0554,0.1663,-8,10,1.0,1.0,14065,14065,,5.6
_iteration/run-2026-09-05-opening-kind-realism/cam-room-客厅-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-客厅,万相doodle经网关,imagegen模板,转90,,line,_iteration/run-2026-09-05-opening-kind-consume/cam-room-客厅/line.png,0.0154,0.0222,0.0263,-3,1,1.0,1.0,15605,15604,,7.1
_iteration/run-2026-09-05-opening-kind-realism/cam-room-客厅-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-客厅,万相doodle经网关,imagegen模板,正常,,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-客厅/sketch.png,0.2898,0.6148,0.6582,3,-1,1.0,1.0,8839,8839,,4.4
_iteration/run-2026-09-05-opening-kind-realism/cam-room-客厅-seed1.png,室内,16洞控制稿,modern-minimal,无陈设,cam-room-客厅,万相doodle经网关,imagegen模板,错配,cam-room-主卧,sketch,_iteration/run-2026-09-05-opening-kind-consume/cam-room-主卧/sketch.png,0.1365,0.1045,0.361,-9,10,1.0,1.0,9828,9828,,4.4
